No,Number Per One Dimension,Gender,Size,Width of shoulders,Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Vertical distance between Chair and the ground,Horizational Distance (CM),Horizontal distance between eyes and head posture device,Shoulder Posture ,Head Posture,Sensor 1,Sensor 2 ,Sensor 3,Sensor 4
2072,32,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),883,887,866,723
2073,33,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),879,880,860,722
2074,34,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),886,869,874,734
2075,35,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),888,876,877,718
2076,36,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),886,869,865,722
2077,37,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),883,853,870,720
2078,38,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),880,874,870,720
2079,39,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),886,851,873,742
2080,40,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),882,857,862,723
2081,41,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),889,880,879,711
2082,42,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),882,856,864,708
2083,43,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),889,884,869,733
2084,44,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),888,875,873,716
2085,45,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),884,859,869,719
2086,46,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),893,889,872,727
2087,47,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),893,858,869,723
2088,48,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),880,873,865,718
2089,49,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),884,883,869,723
2090,50,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),885,868,867,721
2091,51,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),882,889,858,716
2092,52,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),879,878,864,733
2093,53,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),885,867,871,721
2094,54,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),877,867,871,705
2095,55,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),882,849,872,724
2096,56,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),874,853,869,727
2097,57,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),876,864,865,719
2098,58,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),883,890,869,716
2099,59,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),881,885,861,731
2100,60,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neutral Position(Best Position),879,880,874,724
2101,1,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,889,951,876,730
2102,2,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,889,955,871,721
2103,3,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,889,948,875,737
2104,4,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,900,970,877,739
2105,5,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,886,954,881,738
2106,6,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,891,927,878,742
2107,7,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,899,943,862,731
2108,8,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,901,929,873,732
2109,9,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,894,968,870,726
2110,10,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,888,937,874,727
2111,11,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,883,935,870,730
2112,12,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,893,929,873,733
2113,13,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,899,938,871,741
2114,14,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,907,931,869,734
2115,15,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,892,925,874,729
2116,16,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,887,939,872,730
2117,17,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,893,921,876,732
2118,18,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,904,925,874,738
2119,19,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,892,948,880,734
2120,20,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,905,924,867,733
2121,21,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,900,935,877,724
2122,22,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,891,931,866,736
2123,23,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,891,913,872,726
2124,24,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,898,908,877,721
2125,25,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,896,931,886,713
2126,26,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,901,933,868,744
2127,27,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,898,925,866,728
2128,28,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,883,923,866,730
2129,29,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,901,934,864,732
2130,30,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,889,933,871,720
2131,31,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,892,924,877,732
2132,32,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,898,941,871,732
2133,33,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,900,915,869,738
2134,34,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,880,931,872,730
2135,35,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,890,917,867,746
2136,36,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,887,948,882,738
2137,37,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,892,960,860,737
2138,38,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,894,921,875,741
2139,39,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,891,905,867,739
2140,40,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,890,922,868,730
2141,41,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,887,930,870,734
2142,42,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,900,927,863,730
2143,43,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,898,894,864,727
2144,44,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,903,929,873,724
2145,45,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,890,907,874,726
2146,46,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,889,958,865,724
2147,47,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,883,914,866,729
2148,48,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,901,922,886,735
2149,49,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,880,930,866,730
2150,50,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,900,909,873,740
2151,51,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,897,915,872,736
2152,52,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,891,933,872,734
2153,53,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,895,932,884,736
2154,54,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,891,922,871,728
2155,55,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,888,910,879,731
2156,56,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,896,926,879,737
2157,57,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,897,931,876,738
2158,58,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,891,906,870,738
2159,59,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,895,925,873,738
2160,60,Male,M,43,35,34,49,48,48,80,80,Normal Shoulder,Neck Extension,887,909,871,736
2161,1,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),615,432,652,619
2162,2,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),617,428,654,633
2163,3,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),607,430,658,630
2164,4,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),614,435,664,618
2165,5,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),612,416,653,623
2166,6,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),606,418,657,625
2167,7,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),610,430,655,626
2168,8,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),602,420,651,614
2169,9,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),599,422,653,613
2170,10,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),606,417,649,615
2171,11,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),610,432,652,619
2172,12,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),606,435,656,626
2173,13,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),603,430,652,623
2174,14,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),606,421,651,617
2175,15,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),594,422,657,618
2176,16,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),603,421,663,622
2177,17,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),603,426,655,624
2178,18,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),611,417,654,609
2179,19,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),605,428,647,621
2180,20,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),608,415,657,615
2181,21,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),609,423,652,625
2182,22,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),607,418,650,623
2183,23,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),609,427,648,614
2184,24,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),604,429,651,623
2185,25,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),609,427,648,625
2186,26,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),594,426,650,626
2187,27,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),600,431,649,620
2188,28,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),598,425,654,621
2189,29,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),600,433,645,612
2190,30,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),606,426,648,620
2191,31,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),605,418,646,617
2192,32,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),603,426,655,620
2193,33,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),604,421,654,616
2194,34,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),599,423,655,607
2195,35,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),600,432,652,609
2196,36,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),596,430,648,615
2197,37,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),590,424,644,619
2198,38,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),596,435,652,621
2199,39,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),589,436,650,621
2200,40,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),599,429,652,604
2201,41,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),593,431,650,616
2202,42,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),591,427,655,615
2203,43,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),598,425,650,621
2204,44,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),590,437,649,628
2205,45,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),593,430,642,611
2206,46,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),590,422,646,618
2207,47,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),595,417,646,613
2208,48,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),589,431,650,608
2209,49,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),600,424,646,611
2210,50,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),593,438,644,615
2211,51,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),598,425,642,621
2212,52,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),588,423,651,611
2213,53,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),595,427,640,609
2214,54,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),595,411,643,622
2215,55,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),590,424,647,617
2216,56,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),593,423,643,618
2217,57,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),588,423,645,620
2218,58,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),588,430,639,612
2219,59,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),587,422,639,624
2220,60,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Extreme),690,488,702,625
2221,1,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),681,486,689,639
2222,2,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),678,485,692,619
2223,3,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),679,474,684,614
2224,4,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),682,473,689,627
2225,5,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),680,474,678,632
2226,6,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),674,472,691,621
2227,7,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),684,481,681,615
2228,8,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),679,469,688,630
2229,9,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),679,476,698,624
2230,10,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),679,474,689,622
2231,11,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),674,473,688,632
2232,12,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),675,473,684,617
2233,13,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),680,473,688,629
2234,14,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),672,468,684,626
2235,15,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),676,483,683,622
2236,16,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),680,474,682,625
2237,17,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),675,474,687,638
2238,18,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),678,472,684,630
2239,19,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),680,477,687,612
2240,20,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),674,465,687,630
2241,21,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),669,474,686,626
2242,22,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),681,481,684,631
2243,23,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),676,473,687,624
2244,24,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),669,474,691,631
2245,25,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),679,475,690,630
2246,26,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),683,475,685,634
2247,27,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),680,475,689,626
2248,28,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),669,476,686,633
2249,29,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),682,471,688,636
2250,30,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),681,477,687,629
2251,31,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),671,468,687,632
2252,32,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),675,478,686,619
2253,33,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),676,472,690,627
2254,34,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),679,472,691,629
2255,35,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),680,474,691,617
2256,36,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),674,478,680,624
2257,37,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),679,475,683,641
2258,38,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),665,480,693,625
2259,39,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),674,483,683,628
2260,40,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),679,475,684,623
2261,41,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),676,470,689,628
2262,42,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),675,468,694,622
2263,43,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),663,471,691,623
2264,44,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),678,470,683,642
2265,45,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),679,480,687,630
2266,46,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),674,477,690,627
2267,47,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),669,474,689,634
2268,48,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),678,481,693,625
2269,49,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),684,473,679,625
2270,50,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),669,474,686,637
2271,51,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),674,476,688,625
2272,52,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),675,476,693,620
2273,53,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),685,468,688,630
2274,54,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),680,476,693,628
2275,55,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),677,472,686,628
2276,56,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),672,487,689,623
2277,57,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),673,475,690,630
2278,58,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),680,481,687,628
2279,59,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),680,484,689,625
2280,60,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Poking Chin (Acceptable),705,535,711,645
2281,1,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),702,540,705,640
2282,2,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),702,538,706,642
2283,3,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),708,531,706,632
2284,4,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),701,531,708,636
2285,5,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),707,529,705,639
2286,6,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),702,528,704,636
2287,7,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),707,521,712,633
2288,8,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),702,525,701,630
2289,9,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),702,525,701,637
2290,10,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),700,535,710,641
2291,11,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),699,529,705,629
2292,12,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),706,522,702,632
2293,13,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),701,521,698,627
2294,14,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),701,523,705,631
2295,15,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),696,519,712,639
2296,16,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),698,526,705,626
2297,17,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),706,521,705,637
2298,18,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),701,525,709,639
2299,19,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),705,528,698,634
2300,20,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),700,524,710,641
2301,21,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),697,518,703,639
2302,22,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),700,535,704,621
2303,23,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),704,525,708,634
2304,24,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),699,524,714,645
2305,25,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),706,523,706,649
2306,26,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),696,525,705,643
2307,27,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),701,526,702,640
2308,28,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),698,517,702,636
2309,29,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),706,515,709,636
2310,30,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),701,522,707,643
2311,31,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),701,522,704,633
2312,32,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),705,526,712,636
2313,33,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),700,516,702,642
2314,34,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),706,521,701,639
2315,35,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),701,514,696,632
2316,36,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),700,520,710,633
2317,37,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),698,521,699,634
2318,38,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),700,516,698,636
2319,39,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),694,521,704,638
2320,40,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),703,510,697,634
2321,41,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),705,512,700,625
2322,42,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),700,512,704,639
2323,43,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),692,512,713,639
2324,44,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),698,521,710,634
2325,45,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),691,505,710,637
2326,46,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),706,512,706,647
2327,47,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),699,518,706,636
2328,48,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),697,515,701,638
2329,49,Male,L,44,37,35,54,48,48,65,65,Round Shoulder,Neutral Position(Best Position),696,514,703,635
